priority,score,doi,year,journal,reading_depth,candidate_categories,strategy,application,cellulose_type,lowest_neg_temp,reports_cond_value,reports_mech_value,reports_GF_value,reports_heal_value,reports_adh_value,mentions_anti_drying,mentions_sustainability,local_file,note_length,next_action,reasons,local_title
C,27,10.33140/jpcppr.01.01.01,2022,,R2,Biomedical,PAM+Gelatin,Biomedical,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.33140_jpcppr.01.01.01.md,3881,Background/statistical pool only,cellulose;claim;usable_note,Achieving Antimicrobial Activity of Highly Stretchable Hydrogel Upon DBD Plasma Treatment
C,27,10.15376/biores.13.1.xu,2017,,R2,Biomedical,Unclear,Biomedical,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.15376_biores.13.1.xu.md,4398,Background/statistical pool only,cellulose;claim;usable_note,Review of Silver Nanoparticles (AgNPs)-Cellulose Antibacterial Composites
C,25,10.1016/j.ijpharm.2022.121750,2022,International journal of pharmaceutics,R2,Network_Dynamic;Biomedical,Unclear,Biomedical+Environmental,CMC,,NO,NO,NO,NO,NO,NO,NO,10.1016_j.ijpharm.2022.121750.md,4649,Background/statistical pool only,cellulose;usable_note,Drug-loaded mesoporous silica on carboxymethyl cellulose hydrogel: development of innovative 3D printed hydrophilic films.
C,25,10.3390/gels9070546,2023,Gels,R2,DES_IL,DES,General,Regen,,NO,NO,NO,NO,NO,NO,YES,10.3390_gels9070546.md,3369,Background/statistical pool only,cellulose;usable_note,Recent Advances in Cellulose-Based Hydrogels Prepared by Ionic Liquid-Based Processes
C,25,10.1039/d1ta06468a,2021,,R2,Other,Unclear,Environmental,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.1039_d1ta06468a.md,4020,Background/statistical pool only,cellulose;claim;usable_note,Advances in cellulose-metal organic framework composites: preparation and applications
C,25,10.1007/s10570-021-04052-w,2021,,R2,Other,Unclear,Environmental,Regen+Modified,,NO,NO,NO,NO,NO,NO,NO,10.1007_s10570-021-04052-w.md,3816,Background/statistical pool only,cellulose;claim;usable_note,TEMPO-oxidized cellulose hydrogel for efficient adsorption of Cu2+ and Pb2+ modified by polyethyleneimine
C,25,10.1039/c4ra07576e,2014,,R2,Other,PAM,General,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.1039_c4ra07576e.md,4821,Background/statistical pool only,cellulose;claim;usable_note,"Graphene oxide/polyacrylamide/carboxymethyl cellulose sodium nanocomposite hydrogel with enhanced mechanical strength: preparation, characterization and the swelling behavior"
C,25,10.3390/foods6060041,2017,,R2,Other,Gelatin,Environmental+FoodPack,CMC,,NO,NO,NO,NO,NO,NO,YES,10.3390_foods6060041.md,4226,Background/statistical pool only,cellulose;claim;usable_note,Investigation of Carboxymethyl Cellulose (CMC) on Mechanical Properties of Cold Water Fish Gelatin Biodegradable Edible Films
C,25,10.1039/c8cc05779f,2018,,R2,Other,Unclear,General,BC,,NO,NO,NO,NO,NO,NO,NO,10.1039_c8cc05779f.md,4129,Background/statistical pool only,cellulose;claim;usable_note,Sea cucumber mimicking bacterial cellulose composite hydrogel with ionic strength-sensitive mechanical adaptivity
C,23,10.1002/adfm.200305197,2004,Advanced Functional Materials [原文]「JOURNAL: Advanc,R2,Network_Dynamic,DN+Gelatin,General,BC,,NO,NO,NO,NO,NO,NO,NO,10.1002_adfm.200305197.md,4836,Background/statistical pool only,cellulose;usable_note,High Mechanical Strength Double‐Network Hydrogel with Bacterial Cellulose
C,23,10.1002/app.48564,2020,Journal of Applied Polymer Science,R2,Nanocellulose;Biomedical,NanoCell,Biomedical,CNF,,NO,NO,NO,NO,NO,NO,NO,10.1002_app.48564.md,4620,Background/statistical pool only,cellulose;usable_note,Fe<sub>3</sub>O<sub>4</sub>@rGO hybrids intercalated nanocellulose-based aerogels for enhanced ferromagnetic and mechanical properties
C,22,10.1016/j.ijbiomac.2025.141443,2025,International journal of biological macromolecules,R2,Other,Starch,General,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.1016_j.ijbiomac.2025.141443.md,5566,Background/statistical pool only,cellulose;rich_note,"Effect of cellulose fibers on the structure, rheological and 3D printing properties of corn starch-based hydrogel ink."
C,22,10.1021/acs.biomac.4c00578,2024,Biomacromolecules,R2,Other,Unclear,General,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.1021_acs.biomac.4c00578.md,7215,Background/statistical pool only,cellulose;rich_note,Single-Component Cellulose Acetate Sulfate Hydrogels for Direct Ink Writing 3D Printing.
C,22,10.3390/polym16040530,2024,Polymers,R2,Other,Unclear,General,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.3390_polym16040530.md,5106,Background/statistical pool only,cellulose;rich_note,Exploring Novel Applications for Hydrogels Derived from Modified Celluloses
C,22,10.1002/cssc.202200399,2022,ChemSusChem,R2,Other,Unclear,Actuator,Unspecified,,NO,NO,NO,NO,NO,NO,NO,10.1002_cssc.202200399.md,5735,Background/statistical pool only,cellulose;rich_note,"Cellulose-derived carbon dots guided growth of ZnIn2S4 nanosheets for photocatalytic oxidation of 5-hydroxymethylfurfural into 2,5-diformylfuran."
C,21,10.1021/acs.chemrev.2c00492,2023,Chemical Reviews,R2,Nanocellulose,NanoCell+Lignin,General,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.1021_acs.chemrev.2c00492.md,4754,Background/statistical pool only,cellulose;usable_note,Biobased Nanomaterials-The Role of Interfacial Interactions for Advanced Materials
C,12,10.3390/gels10120842,2024,Gels,R2,Other,Unclear,General,Unspecified,,NO,NO,NO,NO,NO,NO,YES,10.3390_gels10120842.md,1955,Background/statistical pool only,cellulose;thin_note,Advances in Cellulose-Based Hydrogels: Current Trends and Challenges
